group_id,image_path,label,angle,original_file,split
0,/kaggle/working/real_text_10k_dataset/doc_g0_rot0.jpg,0,0,2029019292.tif,train
0,/kaggle/working/real_text_10k_dataset/doc_g0_rot90.jpg,1,90,2029019292.tif,train
0,/kaggle/working/real_text_10k_dataset/doc_g0_rot180.jpg,2,180,2029019292.tif,train
0,/kaggle/working/real_text_10k_dataset/doc_g0_rot270.jpg,3,270,2029019292.tif,train
1,/kaggle/working/real_text_10k_dataset/doc_g1_rot0.jpg,0,0,2084093197.tif,train
1,/kaggle/working/real_text_10k_dataset/doc_g1_rot90.jpg,1,90,2084093197.tif,train
1,/kaggle/working/real_text_10k_dataset/doc_g1_rot180.jpg,2,180,2084093197.tif,train
1,/kaggle/working/real_text_10k_dataset/doc_g1_rot270.jpg,3,270,2084093197.tif,train
2,/kaggle/working/real_text_10k_dataset/doc_g2_rot0.jpg,0,0,950.jpg,train
2,/kaggle/working/real_text_10k_dataset/doc_g2_rot90.jpg,1,90,950.jpg,train
2,/kaggle/working/real_text_10k_dataset/doc_g2_rot180.jpg,2,180,950.jpg,train
2,/kaggle/working/real_text_10k_dataset/doc_g2_rot270.jpg,3,270,950.jpg,train
3,/kaggle/working/real_text_10k_dataset/doc_g3_rot0.jpg,0,0,517512382+-2383.tif,train
3,/kaggle/working/real_text_10k_dataset/doc_g3_rot90.jpg,1,90,517512382+-2383.tif,train
3,/kaggle/working/real_text_10k_dataset/doc_g3_rot180.jpg,2,180,517512382+-2383.tif,train
3,/kaggle/working/real_text_10k_dataset/doc_g3_rot270.jpg,3,270,517512382+-2383.tif,train
4,/kaggle/working/real_text_10k_dataset/doc_g4_rot0.jpg,0,0,517044650+-4652.tif,train
4,/kaggle/working/real_text_10k_dataset/doc_g4_rot90.jpg,1,90,517044650+-4652.tif,train
4,/kaggle/working/real_text_10k_dataset/doc_g4_rot180.jpg,2,180,517044650+-4652.tif,train
4,/kaggle/working/real_text_10k_dataset/doc_g4_rot270.jpg,3,270,517044650+-4652.tif,train
5,/kaggle/working/real_text_10k_dataset/doc_g5_rot0.jpg,0,0,2028843170_2028843172.tif,train
5,/kaggle/working/real_text_10k_dataset/doc_g5_rot90.jpg,1,90,2028843170_2028843172.tif,train
5,/kaggle/working/real_text_10k_dataset/doc_g5_rot180.jpg,2,180,2028843170_2028843172.tif,train
5,/kaggle/working/real_text_10k_dataset/doc_g5_rot270.jpg,3,270,2028843170_2028843172.tif,train
6,/kaggle/working/real_text_10k_dataset/doc_g6_rot0.jpg,0,0,2041975989.tif,train
6,/kaggle/working/real_text_10k_dataset/doc_g6_rot90.jpg,1,90,2041975989.tif,train
6,/kaggle/working/real_text_10k_dataset/doc_g6_rot180.jpg,2,180,2041975989.tif,train
6,/kaggle/working/real_text_10k_dataset/doc_g6_rot270.jpg,3,270,2041975989.tif,train
7,/kaggle/working/real_text_10k_dataset/doc_g7_rot0.jpg,0,0,518334135+-4135.tif,train
7,/kaggle/working/real_text_10k_dataset/doc_g7_rot90.jpg,1,90,518334135+-4135.tif,train
7,/kaggle/working/real_text_10k_dataset/doc_g7_rot180.jpg,2,180,518334135+-4135.tif,train
7,/kaggle/working/real_text_10k_dataset/doc_g7_rot270.jpg,3,270,518334135+-4135.tif,train
8,/kaggle/working/real_text_10k_dataset/doc_g8_rot0.jpg,0,0,2081521228a.tif,train
8,/kaggle/working/real_text_10k_dataset/doc_g8_rot90.jpg,1,90,2081521228a.tif,train
8,/kaggle/working/real_text_10k_dataset/doc_g8_rot180.jpg,2,180,2081521228a.tif,train
8,/kaggle/working/real_text_10k_dataset/doc_g8_rot270.jpg,3,270,2081521228a.tif,train
9,/kaggle/working/real_text_10k_dataset/doc_g9_rot0.jpg,0,0,503418729+-8729.tif,train
9,/kaggle/working/real_text_10k_dataset/doc_g9_rot90.jpg,1,90,503418729+-8729.tif,train
9,/kaggle/working/real_text_10k_dataset/doc_g9_rot180.jpg,2,180,503418729+-8729.tif,train
9,/kaggle/working/real_text_10k_dataset/doc_g9_rot270.jpg,3,270,503418729+-8729.tif,train
10,/kaggle/working/real_text_10k_dataset/doc_g10_rot0.jpg,0,0,2030146944_2030146945.tif,train
10,/kaggle/working/real_text_10k_dataset/doc_g10_rot90.jpg,1,90,2030146944_2030146945.tif,train
10,/kaggle/working/real_text_10k_dataset/doc_g10_rot180.jpg,2,180,2030146944_2030146945.tif,train
10,/kaggle/working/real_text_10k_dataset/doc_g10_rot270.jpg,3,270,2030146944_2030146945.tif,train
11,/kaggle/working/real_text_10k_dataset/doc_g11_rot0.jpg,0,0,2501457985.tif,train
11,/kaggle/working/real_text_10k_dataset/doc_g11_rot90.jpg,1,90,2501457985.tif,train
11,/kaggle/working/real_text_10k_dataset/doc_g11_rot180.jpg,2,180,2501457985.tif,train
11,/kaggle/working/real_text_10k_dataset/doc_g11_rot270.jpg,3,270,2501457985.tif,train
12,/kaggle/working/real_text_10k_dataset/doc_g12_rot0.jpg,0,0,482.jpg,train
12,/kaggle/working/real_text_10k_dataset/doc_g12_rot90.jpg,1,90,482.jpg,train
12,/kaggle/working/real_text_10k_dataset/doc_g12_rot180.jpg,2,180,482.jpg,train
12,/kaggle/working/real_text_10k_dataset/doc_g12_rot270.jpg,3,270,482.jpg,train
13,/kaggle/working/real_text_10k_dataset/doc_g13_rot0.jpg,0,0,834.jpg,train
13,/kaggle/working/real_text_10k_dataset/doc_g13_rot90.jpg,1,90,834.jpg,train
13,/kaggle/working/real_text_10k_dataset/doc_g13_rot180.jpg,2,180,834.jpg,train
13,/kaggle/working/real_text_10k_dataset/doc_g13_rot270.jpg,3,270,834.jpg,train
14,/kaggle/working/real_text_10k_dataset/doc_g14_rot0.jpg,0,0,2028871609.tif,train
14,/kaggle/working/real_text_10k_dataset/doc_g14_rot90.jpg,1,90,2028871609.tif,train
14,/kaggle/working/real_text_10k_dataset/doc_g14_rot180.jpg,2,180,2028871609.tif,train
14,/kaggle/working/real_text_10k_dataset/doc_g14_rot270.jpg,3,270,2028871609.tif,train
15,/kaggle/working/real_text_10k_dataset/doc_g15_rot0.jpg,0,0,2057764514_4516.tif,train
15,/kaggle/working/real_text_10k_dataset/doc_g15_rot90.jpg,1,90,2057764514_4516.tif,train
15,/kaggle/working/real_text_10k_dataset/doc_g15_rot180.jpg,2,180,2057764514_4516.tif,train
15,/kaggle/working/real_text_10k_dataset/doc_g15_rot270.jpg,3,270,2057764514_4516.tif,train
16,/kaggle/working/real_text_10k_dataset/doc_g16_rot0.jpg,0,0,87140822.tif,train
16,/kaggle/working/real_text_10k_dataset/doc_g16_rot90.jpg,1,90,87140822.tif,train
16,/kaggle/working/real_text_10k_dataset/doc_g16_rot180.jpg,2,180,87140822.tif,train
16,/kaggle/working/real_text_10k_dataset/doc_g16_rot270.jpg,3,270,87140822.tif,train
17,/kaggle/working/real_text_10k_dataset/doc_g17_rot0.jpg,0,0,2024525606.tif,train
17,/kaggle/working/real_text_10k_dataset/doc_g17_rot90.jpg,1,90,2024525606.tif,train
17,/kaggle/working/real_text_10k_dataset/doc_g17_rot180.jpg,2,180,2024525606.tif,train
17,/kaggle/working/real_text_10k_dataset/doc_g17_rot270.jpg,3,270,2024525606.tif,train
18,/kaggle/working/real_text_10k_dataset/doc_g18_rot0.jpg,0,0,524353075+-3082.tif,train
18,/kaggle/working/real_text_10k_dataset/doc_g18_rot90.jpg,1,90,524353075+-3082.tif,train
18,/kaggle/working/real_text_10k_dataset/doc_g18_rot180.jpg,2,180,524353075+-3082.tif,train
18,/kaggle/working/real_text_10k_dataset/doc_g18_rot270.jpg,3,270,524353075+-3082.tif,train
19,/kaggle/working/real_text_10k_dataset/doc_g19_rot0.jpg,0,0,607.jpg,train
19,/kaggle/working/real_text_10k_dataset/doc_g19_rot90.jpg,1,90,607.jpg,train
19,/kaggle/working/real_text_10k_dataset/doc_g19_rot180.jpg,2,180,607.jpg,train
19,/kaggle/working/real_text_10k_dataset/doc_g19_rot270.jpg,3,270,607.jpg,train
20,/kaggle/working/real_text_10k_dataset/doc_g20_rot0.jpg,0,0,2083318280b.tif,train
